topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth,border_breadth_avg
topo1_rac_it3,29,42,2.896551724137931,1,2.8081755960692876,2.3340689468547886,-0.37769092002405297,0.15463917525773196,0.26174687381583933,0.42857142857142855,1.860310654108983,4.887577679254771,0.42188729065551295,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_rac_it2,29,41,2.8275862068965516,1,2.841429527510712,2.3140348740649053,-0.40682536730518853,0.15625,0.26174687381583933,0.35714285714285715,1.8292161180538948,4.876895482885068,0.33821760036191323,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_rac_it5,29,44,3.0344827586206895,1,2.7478236983636597,2.352083255022155,-0.345515803900294,0.1507537688442211,0.26174687381583933,0.5714285714285714,1.889081489488834,4.900495699830499,0.49847194998090555,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_rac_it4,29,43,2.9655172413793105,1,2.7728083438585696,2.3140348740649053,-0.3595200560518479,0.15306122448979592,0.26174687381583933,0.5384615384615384,1.8768703564647695,4.892666388905703,0.46451694036604496,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_it0,29,39,2.689655172413793,1,2.8780195330848737,2.1233958603411422,-0.42707722385141805,0.16129032258064516,0.26174687381583933,0.3076923076923077,1.80802517062645,4.860741444058462,0.2619011509669749,"{'1': 0.037037037037037035, '2': 0.5}",0.2685185185185185
topo1_rnp_it5,29,44,3.0344827586206895,1,2.9300201084479998,2.4259353050247854,-0.41902193033892327,0.1542056074766355,0.24040040419350764,0.5,2.0810163469399097,5.069765488214998,0.3403617108359796,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_rnp_it4,29,43,2.9655172413793105,1,2.894498451232181,2.395018168740656,-0.4124654072915412,0.16019417475728157,0.24105721864342558,0.5,1.974685105501783,5.00106153286555,0.30737303039844605,"{'1': 0.037037037037037035, '2': 0.5}",0.2685185185185185
topo1_rnp_it3,29,42,2.896551724137931,1,2.8928547836088754,2.4314162074612065,-0.4179338309833198,0.16417910447761194,0.24335606921813824,0.46153846153846156,1.9353851148621217,4.961855062250132,0.3012512779824053,"{'1': 0.037037037037037035, '2': 0.5}",0.2685185185185185
topo1_rac_it1,29,40,2.7586206896551726,1,2.872643530987383,2.2522006014966456,-0.4229046705054383,0.15789473684210525,0.26174687381583933,0.38461538461538464,1.8326443331686217,4.875254795293391,0.287958448452536,"{'1': 0.07407407407407407, '2': 1.0}",0.537037037037037
topo1_rnp_it2,29,41,2.8275862068965516,1,2.8535394297347865,2.319515776501326,-0.3998938859586155,0.17098445595854922,0.2502526209422761,0.4166666666666667,1.8673503789177226,4.899145658127845,0.2803679845985673,"{'1': 0.037037037037037035, '2': 0.5}",0.2685185185185185
