topology,|V|,|E|,avg_degree,nr_connected_components,degree_std,degree_entropy,assortativity,transitivity,average_clustering,cheeger_constant,spectral_gap,spectral_radius,algebraic_connectivity,border_breadth
topo6_it0,47,99,4.212765957446808,1,2.466250235036954,2.927361835289747,0.07008275862068936,0.2472885032537961,0.23226336311442694,0.07692307692307693,2.1086028839278903,6.531854531806634,0.04465981767855848,"{'3': 0.3333333333333333, '1': 0.03571428571428571, '2': 0.07692307692307693}"
topo6_rnp_it2,47,99,4.212765957446808,1,2.2872093021917768,2.8276339209656167,0.017647953750190567,0.20408163265306123,0.1965383316447146,0.10526315789473684,1.6883020289088986,6.134657448841867,0.08529712786646343,"{'3': 0.6666666666666666, '1': 0.07142857142857142, '2': 0.15384615384615385}"
topo3_rnp_it2,44,89,4.045454545454546,1,1.650819981575898,2.47329687202415,-0.07554770318021221,0.24471299093655588,0.291017316017316,0.2777777777777778,0.5780652905520309,4.860815512202087,0.1948446822134696,"{'3': 0.4, '4': 0.5555555555555556, '1': 0.4166666666666667, '5': 0.4444444444444444, '2': 1.0}"
topo3_rnp_it3,44,89,4.045454545454546,1,1.636994827760828,2.436483189303332,-0.07481030244736543,0.22727272727272727,0.2743506493506494,0.3181818181818182,0.5736064404036698,4.856372878396707,0.2207799740828976,"{'3': 0.4, '4': 0.5555555555555556, '1': 0.5, '5': 0.5555555555555556, '2': 1.0}"
topo3_it0,44,89,4.045454545454546,1,1.8084969330979783,2.6124548960335616,-0.1244047285562214,0.26239067055393583,0.30024596615505705,0.2857142857142857,0.7115868277068742,5.005063521354244,0.1925439981306997,"{'3': 0.4, '4': 0.4444444444444444, '1': 0.3333333333333333, '5': 0.4444444444444444, '2': 1.0}"
topo3_rac_it1,44,89,4.045454545454546,1,1.7831859314484575,2.584355973527198,-0.12398391134362742,0.24633431085043989,0.28963990554899643,0.3333333333333333,0.7132259789899438,4.997081217909768,0.20518307617651463,"{'3': 0.4, '4': 0.4444444444444444, '1': 0.4166666666666667, '5': 0.5555555555555556, '2': 1.0}"
topo3_rnp_it4,44,89,4.045454545454546,1,1.636994827760828,2.436483189303332,-0.07481030244736543,0.22727272727272727,0.2743506493506494,0.3181818181818182,0.5736064404036618,4.856372878396697,0.22077997408289873,"{'3': 0.4, '4': 0.5555555555555556, '1': 0.5, '5': 0.5555555555555556, '2': 1.0}"
topo3_rnp_it5,44,89,4.045454545454546,1,1.636994827760828,2.436483189303332,-0.07481030244736543,0.22727272727272727,0.2743506493506494,0.3181818181818182,0.5736064404036698,4.856372878396707,0.22077997408289946,"{'3': 0.4, '4': 0.5555555555555556, '1': 0.5, '5': 0.5555555555555556, '2': 1.0}"
topo3_rac_it4,44,89,4.045454545454546,1,1.8458127731133596,2.6614225770243,-0.1705547879689656,0.20809248554913296,0.25814639905549003,0.3181818181818182,0.7916357496486164,4.992506824211181,0.3444285688159682,"{'3': 0.5, '4': 0.6666666666666666, '1': 0.5, '5': 0.6666666666666666, '2': 0.75}"
topo3_rac_it5,44,89,4.045454545454546,1,1.8084969330979785,2.7301123833611505,-0.17237171464330334,0.21865889212827988,0.26533189033189036,0.42105263157894735,0.6110266909201165,4.874290575020401,0.3471241239469387,"{'3': 0.6, '4': 0.6666666666666666, '1': 0.5, '5': 0.7777777777777778, '2': 0.75}"
topo3_rac_it2,44,89,4.045454545454546,1,1.8458127731133596,2.6510763591987323,-0.16230905205392782,0.2254335260115607,0.2884494293585203,0.3684210526315789,0.8746136061930061,5.017113220554625,0.27821574288951967,"{'3': 0.5, '4': 0.4444444444444444, '1': 0.5, '5': 0.5555555555555556, '2': 1.0}"
topo3_rnp_it1,44,89,4.045454545454546,1,1.744531005672317,2.482301653644321,-0.09197833812827888,0.2485207100591716,0.2934277843368753,0.2727272727272727,0.6863258211015513,4.98953601503767,0.193403466864622,"{'3': 0.4, '4': 0.4444444444444444, '1': 0.3333333333333333, '5': 0.4444444444444444, '2': 1.0}"
topo3_rac_it3,44,89,4.045454545454546,1,1.8458127731133596,2.6510763591987323,-0.1810938448143952,0.2254335260115607,0.2808736717827627,0.2857142857142857,0.8537279491323515,4.995269188440362,0.2728717905152414,"{'3': 0.4, '4': 0.5555555555555556, '1': 0.5, '5': 0.6666666666666666, '2': 0.75}"
topo4_rnp_it2,32,50,3.125,1,1.0825317547305484,2.0227178514411284,-0.14529914529914648,0.312,0.4041666666666666,0.3076923076923077,0.3920994047048416,3.6198388361191944,0.13794482427321167,"{'3': 0.3333333333333333, '4': 0.5714285714285714, '1': 0.375, '5': 0.5714285714285714, '2': 0.75}"
